 001  226065010   12 21 29 24  1178 225M4-2 6   2MY 21.2301 29.3356 24.2446               6                        D150 PICKUP 2WD
 001  227065010   12 16 21 18  1547 318A3-1 8   2LY 15.7327 21.4228 17.8685               6                        D150 PICKUP 2WD
 001  227065010   12 16 22 18  1547 318C4-1 8   2CY 16.3000 22.0000 18.4512               6                        D150 PICKUP 2WD
 001  227065010   12 17 25 20  1455 318M4-2 8   2MY 16.8000 25.0000 19.7091               6                        D150 PICKUP 2WD
 001  227065015   12 15 20 17  1651 318A3-1 8   2LY 14.8000 20.4000 16.8859               6                        D250 PICKUP 2WD
 001  227065015   12 14 18 16  1767 318C4-1 8   2CY 14.3000 18.4000 15.8937               6                        D250 PICKUP 2WD
 001  227065030   15 15 20 17  1651 318A3-1 8   2LY 14.8545 20.4605 16.9436               6                        B150/B250 WAGON 2WD
 001  227065030   15 15 22 18  1651 318M4-2 8   2MY 14.8778 22.4062 17.5280               6                        B150/B250 WAGON 2WD
 001  227065035   15 14 19 16  1767 318A3-1 8   2LY 13.9951 18.8956 15.8442               6                        B350 WAGON 2WD
 001  227065045   14 16 21 18  1547 318A3-1 8   2LY 15.5413 21.2150 17.6676               6                        B150/B250 VAN 2WD
 001  227065045   14 16 25 19  1547 318M4-2 8   2MY 16.4418 24.5214 19.3041               6                        B150/B250 VAN 2WD
 001  227065050   14 15 20 17  1651 318A3-1 8   2LY 14.8000 20.4000 16.8859               6                        B350 VAN 2WD
 001  227065070   17 15 20 17  1651 318A3-1 8   2LY 14.8000 20.4000 16.8859               6                        AD150 RAMCHARGER 2WD
 001  227091010   15 15 20 17  1651 318A3-1 8   2LY 14.8534 20.4592 16.9424               6                        PB150/PB250 VOYAGER 2WD
 001  227091010   15 15 22 17  1651 318M4-2 8   2MY 14.8491 22.3672 17.4954               6                        PB150/PB250 VOYAGER 2WD
 001  227091015   15 14 19 16  1767 318A3-1 8   2LY 13.9956 18.8964 15.8448               6                        PB350 VOYAGER 2WD
 001  227091062   12 16 21 18  1547 318A3-1 8   2LY 15.7327 21.4228 17.8685               6                        FARGO D150 PICKUP 2WD
 001  227091062   12 16 22 18  1547 318C4-1 8   2CY 16.3000 22.0000 18.4512               6                        FARGO D150 PICKUP 2WD
 001  227091062   12 17 25 20  1455 318M4-2 8   2MY 16.8000 25.0000 19.7091               6                        FARGO D150 PICKUP 2WD
 001  227091064   12 15 20 17  1651 318A3-1 8   2LY 14.8000 20.4000 16.8859               6                        FARGO D250 PICKUP 2WD
