1986F 3160CONQUEST                     156FIM5     48603070258498509304901601549061DODGE                             18   24   21   21   30   24  $  964( 2.6L) (FFS,TRBO)                                        HBK- 76/10  OD RWD P
1986F 3160DAYTONA                      135FIA3     4860307025800850816 2016070 2410DODGE                             24   27   25   26   34   29  $  750( 2.2L) (FFS)                                             HBK- 83/17     FWD R
1986F 3160DAYTONA                      135FIA3     4860307025801850825 2016070 2420DODGE                             20   24   22   22   31   25  $  921( 2.2L) (FFS,TRBO)                                        HBK- 83/17     FWD P
1986F 3160DAYTONA                      135FIM5     4860307025800850816 2016070 2410DODGE                             25   35   29   28   45   34  $  647( 2.2L) (FFS)                                             HBK- 83/17  OD FWD RSIL
1986F 3160DAYTONA                      135FIM5     4860307025801850825 2016070 2420DODGE                             19   28   22   21   36   26  $  921( 2.2L) (FFS,TRBO)                                        HBK- 83/17  OD FWD P
1986F 3160DAYTONA                      152FIA3     4860307025802850816 2016070 2510DODGE                             23   25   24   25   32   28  $  782( 2.5L) (FFS)                                             HBK- 83/17     FWD R
1986F 3160DAYTONA                      152FIM5     4860307025802850816 2016070 2510DODGE                             23   32   27   26   41   31  $  694( 2.5L) (FFS)                                             HBK- 83/17  OD FWD RSIL
1986F 3160600 CONVERTIBLE              135FIA3     4860307025800850816 2016065 2410DODGE                             24   27   25   26   34   29  $  750( 2.2L) (FFS)                         2DR- 80/10                         FWD R
1986F 3160600 CONVERTIBLE              135FIA3     4860307025801850825 2016065 2420DODGE                             20   24   22   22   31   25  $  921( 2.2L) (FFS,TRBO)                    2DR- 80/10                         FWD P
1986F 3160600 CONVERTIBLE              135FIM5     4860307025801851217 2016065 2422DODGE                             20   28   23   22   36   27  $  881( 2.2L) (FFS,TRBO)                    2DR- 80/10                      OD FWD P
1986F 3160600 CONVERTIBLE              152FIA3     4860307025802850816 2016065 2510DODGE                             23   25   24   25   32   28  $  782( 2.5L) (FFS)                         2DR- 80/10                         FWD R
1986F 3190LASER                         98FIA3     48603070258528508295601900456030FORD                              25   30   27   27   39   32  $  694( 1.6L) (FFS)                                   4DR- 88/15HBK- 88/15*    FWD R
1986F 3190LASER                         98FIM4     48603070258528508295601900456030FORD                              26   30   27   28   38   32  $  694( 1.6L) (FFS)                                   4DR- 88/15HBK- 88/15* OD FWD R
1986F 3190MUSTANG                      140 1A3     4860307025808850619 3019015 3306FORD                              21   25   22   23   32   26  $  853( 2.3L) (FFS)                         2DR- 84/08          HBK- 84/12     RWD R
1986F 3190MUSTANG                      140 1M4     4860307025808850812 3019015 3308FORD                              23   28   25   26   37   30  $  750( 2.3L) (FFS)                         2DR- 84/08          HBK- 84/12     RWD R
