CLASS,MFR,CAR LINE,DISPLACEMENT,NUMB CYL,TRANS,DRIVE SYS,INDEX NUMB,CITY MPG (GUIDE),HWY MPG (GUIDE),COMB MPG (GUIDE),UNRND CITY (EPA),UNRND HWY (EPA),UNRND COMP (EPA),FUEL TYPE,GUZLR,TURBO,SPCHGR,AVG 2D PASS VOL,AVG 2D LUGG VOL,AVG 4D PAS VOL,AVG 4D LUGG VOL,AVG HB PAS VOL,AVG HB LUGG VOL,ANL FL CST,ENG BLK TXT,TRANS DESC TXT,VLVS PER CYL,CLS,5C CODE
MINICOMPACT CARS,ASTON MARTIN,DB9 VOLANTE,5.9,12,Auto(S6),R,3,11,17,13,13.9,23.4,17.0071,P,G,,,78,5,,,,,3460, ,CLKUP ,4,2,DERIVED
MINICOMPACT CARS,AUDI,TT COUPE,2,4,Auto(S6),F,5,23,31,26,29.1,43.6,34.2214,P,,T,,,,,,74,13,1732, ,3MODE ,4,2,DERIVED
MINICOMPACT CARS,JAGUAR,JAGUAR XK,4.2,8,Auto(L6),R,309,16,25,19,19.9,34.5,24.5811,P,,,,74,11,,,,,2367, ,3MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,JAGUAR,JAGUAR XK CONVERTIBLE,4.2,8,Auto(L6),R,309,16,25,19,19.9,34.5,24.5811,P,,,,74,10,,,,,2367, ,3MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,JAGUAR,JAGUAR XKR,4.2,8,Auto(L6),R,310,15,23,18,19.1,31.5,23.2118,P,,,S,74,11,,,,,2502, ,3MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,JAGUAR,JAGUAR XKR CONVERTIBLE,4.2,8,Auto(L6),R,310,15,23,18,19.1,31.5,23.2118,P,,,S,74,10,,,,,2502, ,3MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,LEXUS,SC 430,4.3,8,Auto(S6),R,15,16,23,19,20.2995,31.6,24.1927,P,,,,75,9,,,,,2367, ,2MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,MINI,MINI COOPER,1.6,4,Manual(M6),F,12,28,37,32,37,52,42.5193,P,,,,,,76,6,,,1404, ,,4,2,DERIVED
MINICOMPACT CARS,MINI,MINI COOPER,1.6,4,Auto(S6),F,12,26,34,29,32.9253,48.6268,38.5228,P,,,,,,76,6,,,1552, ,3MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,MINI,MINI COOPER S,1.6,4,Manual(M6),F,14,26,34,29,33.7705,48.6557,39.1619,P,,T,,,,76,6,,,1552, ,,4,2,DERIVED
MINICOMPACT CARS,MINI,MINI COOPER S,1.6,4,Auto(S6),F,14,23,32,27,29.964,44.5393,35.1385,P,,T,,,,76,6,,,1665, ,3MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,MINI,MINI COOPER CONVERTIBLE,1.6,4,Auto(AV),F,16,22,30,25,28.3,41.9,33.1406,P,,,,,,70,7,,,1800, ,3MODE VLKUP ,4,2,DERIVED
MINICOMPACT CARS,MINI,MINI COOPER CONVERTIBLE,1.6,4,Manual(M5),F,16,23,32,26,28.9,44.9,34.4194,P,,,,,,70,7,,,1732, ,,4,2,DERIVED
MINICOMPACT CARS,MINI,MINI COOPER S CONVERTIBLE,1.6,4,Manual(M6),F,17,21,29,24,26.6365,40.2563,31.4201,P,,,S,,,70,7,,,1876, ,,4,2,DERIVED
MINICOMPACT CARS,MINI,MINI COOPER S CONVERTIBLE,1.6,4,Auto(S6),F,17,19,29,23,24.558,40.2747,29.7892,P,,,S,,,70,7,,,1958, ,3MODE CLKUP ,4,2,DERIVED
MINICOMPACT CARS,MITSUBISHI,ECLIPSE SPYDER,2.4,4,Manual(M5),F,26,19,26,22,24.2295,36.9806,28.6795,R,,,,76,5,,,,,1911,SOHC,,4,2,DERIVED
